,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17,文本18
0,0,BACKGROUND,Orange,13% have this trait,CLOTHES,Striped Tee,4% have this trait,EARRING,Silver Hoop,9% have this trait,EYES,X Eyes,2% have this trait,FUR,Robot,3% have this trait,MOUTH,Discomfort,2% have this trait
1,1,BACKGROUND,Orange,13% have this trait,CLOTHES,Vietnam Jacket,2% have this trait,EYES,Blue Beams,0.49% have this trait,FUR,Robot,3% have this trait,MOUTH,Grin,7% have this trait,,,
2,2,BACKGROUND,Aquamarine,13% have this trait,EYES,3d,5% have this trait,FUR,Robot,3% have this trait,HAT,Sea Captain's Hat,3% have this trait,MOUTH,Bored Cigarette,7% have this trait,,,
3,3,BACKGROUND,Purple,13% have this trait,CLOTHES,Bone Necklace,2% have this trait,EYES,Bored,17% have this trait,FUR,Cheetah,4% have this trait,MOUTH,Tongue Out,2% have this trait,,,
4,4,BACKGROUND,Blue,12% have this trait,CLOTHES,Navy Striped Tee,3% have this trait,EYES,Closed,7% have this trait,FUR,Golden Brown,8% have this trait,HAT,Party Hat 2,1% have this trait,MOUTH,Phoneme L,2% have this trait
5,5,BACKGROUND,Army Green,12% have this trait,CLOTHES,Bayc T Red,1% have this trait,EYES,X Eyes,2% have this trait,FUR,Brown,14% have this trait,HAT,Bayc Flipped Brim,2% have this trait,MOUTH,Dumbfounded,5% have this trait
6,6,BACKGROUND,Yellow,13% have this trait,CLOTHES,Tweed Suit,1% have this trait,EYES,Crazy,4% have this trait,FUR,Cream,6% have this trait,HAT,S&m Hat,2% have this trait,MOUTH,Bored,23% have this trait
7,7,BACKGROUND,Gray,12% have this trait,CLOTHES,Wool Turtleneck,2% have this trait,EYES,Angry,4% have this trait,FUR,Golden Brown,8% have this trait,HAT,Stuntman Helmet,2% have this trait,MOUTH,Bored,23% have this trait
8,8,BACKGROUND,Aquamarine,13% have this trait,EARRING,Gold Stud,4% have this trait,EYES,Robot,4% have this trait,FUR,Zombie,3% have this trait,HAT,Beanie,6% have this trait,MOUTH,Bored,23% have this trait
9,9,BACKGROUND,Purple,13% have this trait,CLOTHES,Stunt Jacket,2% have this trait,EARRING,Silver Stud,8% have this trait,EYES,Sleepy,8% have this trait,FUR,Brown,14% have this trait,HAT,Seaman's Hat,4% have this trait
10,10,BACKGROUND,Aquamarine,13% have this trait,CLOTHES,Navy Striped Tee,3% have this trait,EYES,Eyepatch,3% have this trait,FUR,Dmt,2% have this trait,HAT,Bayc Hat Red,1% have this trait,MOUTH,Bored,23% have this trait
11,11,BACKGROUND,Gray,12% have this trait,CLOTHES,Smoking Jacket,2% have this trait,EYES,Bloodshot,8% have this trait,FUR,Dark Brown,14% have this trait,HAT,Laurel Wreath,0.72% have this trait,MOUTH,Bored Unshaven Cigarette,4% have this trait
12,12,BACKGROUND,Army Green,12% have this trait,CLOTHES,Black Holes T,2% have this trait,EYES,Wide Eyed,5% have this trait,FUR,Brown,14% have this trait,HAT,Seaman's Hat,4% have this trait,MOUTH,Discomfort,2% have this trait
13,13,BACKGROUND,Yellow,13% have this trait,CLOTHES,Bone Tee,2% have this trait,EYES,Coins,5% have this trait,FUR,Black,12% have this trait,HAT,Police Motorcycle Helmet,1% have this trait,MOUTH,Bored,23% have this trait
